"timestamp_utc","sample_end_utc","sample","node","node_count","cpu_percent","memory_usage","network_io","block_io","vm_mem_available_kib"
"2026-09-21T11:22:01.8792760+00:00","2026-09-21T11:22:04.2340440+00:00","8","r-scylla3","3","3.07%","159.5MiB / 9.711GiB","20.7MB / 46.9MB","52.9MB / 632MB","8928636"
"2026-09-21T11:22:05.2467673+00:00","2026-09-21T11:22:07.2491122+00:00","9","r-scylla1","3","2.98%","181.5MiB / 9.711GiB","19MB / 53MB","131MB / 648MB","8926572"
"2026-09-21T11:22:05.2467673+00:00","2026-09-21T11:22:07.2491122+00:00","9","r-scylla2","3","3.12%","156.4MiB / 9.711GiB","20.7MB / 48.9MB","38.6MB / 633MB","8926572"
"2026-09-21T11:22:05.2467673+00:00","2026-09-21T11:22:07.2491122+00:00","9","r-scylla3","3","3.00%","159MiB / 9.711GiB","20.8MB / 48.4MB","52.9MB / 632MB","8926572"
"2026-09-21T11:22:08.2572478+00:00","2026-09-21T11:22:10.5859916+00:00","10","r-scylla1","3","3.15%","181.2MiB / 9.711GiB","19.1MB / 54.5MB","131MB / 648MB","8924700"
"2026-09-21T11:22:08.2572478+00:00","2026-09-21T11:22:10.5859916+00:00","10","r-scylla2","3","3.64%","156.6MiB / 9.711GiB","20.8MB / 50.5MB","38.6MB / 633MB","8924700"
"2026-09-21T11:22:08.2572478+00:00","2026-09-21T11:22:10.5859916+00:00","10","r-scylla3","3","3.21%","159MiB / 9.711GiB","20.8MB / 49.6MB","52.9MB / 632MB","8924700"
"2026-09-21T11:22:11.6024177+00:00","2026-09-21T11:22:13.8902296+00:00","11","r-scylla1","3","3.07%","181.4MiB / 9.711GiB","19.1MB / 55.7MB","131MB / 648MB","8923608"
"2026-09-21T11:22:11.6024177+00:00","2026-09-21T11:22:13.8902296+00:00","11","r-scylla2","3","2.90%","156.4MiB / 9.711GiB","20.8MB / 51.6MB","38.6MB / 633MB","8923608"
"2026-09-21T11:22:11.6024177+00:00","2026-09-21T11:22:13.8902296+00:00","11","r-scylla3","3","2.89%","159.5MiB / 9.711GiB","20.8MB / 50.7MB","52.9MB / 632MB","8923608"
"2026-09-21T11:22:14.9066691+00:00","2026-09-21T11:22:16.9734362+00:00","12","r-scylla1","3","3.49%","181.2MiB / 9.711GiB","19.1MB / 56.9MB","131MB / 648MB","8915752"
"2026-09-21T11:22:14.9066691+00:00","2026-09-21T11:22:16.9734362+00:00","12","r-scylla2","3","3.36%","156.6MiB / 9.711GiB","20.8MB / 52.8MB","38.6MB / 633MB","8915752"
"2026-09-21T11:22:14.9066691+00:00","2026-09-21T11:22:16.9734362+00:00","12","r-scylla3","3","3.45%","159MiB / 9.711GiB","20.9MB / 52.3MB","52.9MB / 632MB","8915752"
"2026-09-21T11:22:17.9776561+00:00","2026-09-21T11:22:20.2432996+00:00","13","r-scylla1","3","3.60%","181.2MiB / 9.711GiB","19.1MB / 57.7MB","131MB / 648MB","8919640"
"2026-09-21T11:22:17.9776561+00:00","2026-09-21T11:22:20.2432996+00:00","13","r-scylla2","3","2.29%","156.4MiB / 9.711GiB","20.9MB / 53.9MB","38.6MB / 633MB","8919640"
"2026-09-21T11:22:17.9776561+00:00","2026-09-21T11:22:20.2432996+00:00","13","r-scylla3","3","1.98%","159.2MiB / 9.711GiB","20.9MB / 53.4MB","52.9MB / 632MB","8919640"
"2026-09-21T11:22:21.2577357+00:00","2026-09-21T11:22:23.5722280+00:00","14","r-scylla1","3","3.55%","181MiB / 9.711GiB","19.2MB / 59.3MB","131MB / 648MB","8917544"
