"timestamp_utc","sample_end_utc","sample","node","node_count","cpu_percent","memory_usage","network_io","block_io","vm_mem_available_kib"
"2026-09-21T11:17:08.1906617+00:00","2026-09-21T11:17:10.6318361+00:00","0","r-scylla1","3","3.27%","180.8MiB / 9.711GiB","16.9MB / 19.2MB","130MB / 648MB","8972656"
"2026-09-21T11:17:08.1906617+00:00","2026-09-21T11:17:10.6318361+00:00","0","r-scylla2","3","3.51%","156.6MiB / 9.711GiB","18.3MB / 16.3MB","38.6MB / 633MB","8972656"
"2026-09-21T11:17:08.1906617+00:00","2026-09-21T11:17:10.6318361+00:00","0","r-scylla3","3","2.70%","159.4MiB / 9.711GiB","18.4MB / 15.6MB","52.9MB / 632MB","8972656"
"2026-09-21T11:17:11.7321638+00:00","2026-09-21T11:17:14.0303924+00:00","1","r-scylla1","3","2.22%","180.6MiB / 9.711GiB","16.9MB / 19.2MB","131MB / 648MB","8974212"
"2026-09-21T11:17:11.7321638+00:00","2026-09-21T11:17:14.0303924+00:00","1","r-scylla2","3","1.93%","156.6MiB / 9.711GiB","18.4MB / 16.3MB","38.6MB / 633MB","8974212"
"2026-09-21T11:17:11.7321638+00:00","2026-09-21T11:17:14.0303924+00:00","1","r-scylla3","3","2.16%","159MiB / 9.711GiB","18.4MB / 15.7MB","52.9MB / 632MB","8974212"
"2026-09-21T11:17:15.0501014+00:00","2026-09-21T11:17:17.0971370+00:00","2","r-scylla1","3","3.44%","180.8MiB / 9.711GiB","17MB / 19.2MB","131MB / 648MB","8974988"
"2026-09-21T11:17:15.0501014+00:00","2026-09-21T11:17:17.0971370+00:00","2","r-scylla2","3","3.49%","156.4MiB / 9.711GiB","18.4MB / 16.3MB","38.6MB / 633MB","8974988"
"2026-09-21T11:17:15.0501014+00:00","2026-09-21T11:17:17.0971370+00:00","2","r-scylla3","3","3.73%","159MiB / 9.711GiB","18.5MB / 15.7MB","52.9MB / 632MB","8974988"
