"timestamp_utc","sample","node","cpu_percent","memory_usage","network_io","block_io"
"2026-09-17T15:02:46.4422729+00:00","12","r-scylla3","3.52%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:02:49.6148647+00:00","13","r-scylla1","3.23%","588.8MiB / 9.711GiB","180MB / 147MB","363MB / 896MB"
"2026-09-17T15:02:49.6148647+00:00","13","r-scylla2","3.48%","515.7MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:02:49.6148647+00:00","13","r-scylla3","3.24%","517.4MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:02:52.6472870+00:00","14","r-scylla1","3.69%","589MiB / 9.711GiB","180MB / 147MB","363MB / 896MB"
"2026-09-17T15:02:52.6472870+00:00","14","r-scylla2","3.29%","515.7MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:02:52.6472870+00:00","14","r-scylla3","3.39%","517.4MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:02:55.8557295+00:00","15","r-scylla1","2.66%","588.8MiB / 9.711GiB","180MB / 147MB","363MB / 896MB"
"2026-09-17T15:02:55.8557295+00:00","15","r-scylla2","3.17%","515.4MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:02:55.8557295+00:00","15","r-scylla3","2.50%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:02:59.0083253+00:00","16","r-scylla1","3.97%","588.8MiB / 9.711GiB","180MB / 147MB","363MB / 896MB"
"2026-09-17T15:02:59.0083253+00:00","16","r-scylla2","3.75%","515.7MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:02:59.0083253+00:00","16","r-scylla3","3.49%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:02.0344095+00:00","17","r-scylla1","4.49%","589MiB / 9.711GiB","180MB / 147MB","363MB / 896MB"
"2026-09-17T15:03:02.0344095+00:00","17","r-scylla2","4.01%","515.7MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:02.0344095+00:00","17","r-scylla3","4.18%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:05.2638563+00:00","18","r-scylla1","2.23%","589.3MiB / 9.711GiB","180MB / 147MB","363MB / 896MB"
"2026-09-17T15:03:05.2638563+00:00","18","r-scylla2","2.22%","515.4MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:05.2638563+00:00","18","r-scylla3","3.21%","517.4MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:08.4609178+00:00","19","r-scylla1","3.88%","589MiB / 9.711GiB","180MB / 147MB","363MB / 896MB"
"2026-09-17T15:03:08.4609178+00:00","19","r-scylla2","3.28%","515.7MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:08.4609178+00:00","19","r-scylla3","3.40%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:11.5980703+00:00","20","r-scylla1","3.28%","589.3MiB / 9.711GiB","180MB / 147MB","363MB / 896MB"
"2026-09-17T15:03:11.5980703+00:00","20","r-scylla2","2.85%","515.4MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:11.5980703+00:00","20","r-scylla3","3.52%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:14.8434563+00:00","21","r-scylla1","3.62%","589MiB / 9.711GiB","180MB / 147MB","363MB / 896MB"
"2026-09-17T15:03:14.8434563+00:00","21","r-scylla2","3.84%","515.7MiB / 9.711GiB","181MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:14.8434563+00:00","21","r-scylla3","4.21%","517.4MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:18.0504513+00:00","22","r-scylla1","3.41%","589.3MiB / 9.711GiB","180MB / 147MB","363MB / 896MB"
"2026-09-17T15:03:18.0504513+00:00","22","r-scylla2","3.46%","515.4MiB / 9.711GiB","182MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:18.0504513+00:00","22","r-scylla3","3.24%","517.4MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:21.2474593+00:00","23","r-scylla1","3.17%","589.3MiB / 9.711GiB","180MB / 147MB","363MB / 896MB"
"2026-09-17T15:03:21.2474593+00:00","23","r-scylla2","2.71%","515.4MiB / 9.711GiB","182MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:21.2474593+00:00","23","r-scylla3","2.68%","517.4MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:24.4210924+00:00","24","r-scylla1","2.88%","589.3MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:03:24.4210924+00:00","24","r-scylla2","2.89%","515.4MiB / 9.711GiB","182MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:24.4210924+00:00","24","r-scylla3","2.40%","517.4MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:27.5789636+00:00","25","r-scylla1","2.74%","589MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:03:27.5789636+00:00","25","r-scylla2","2.61%","515.4MiB / 9.711GiB","182MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:27.5789636+00:00","25","r-scylla3","2.32%","517.4MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:30.7396844+00:00","26","r-scylla1","2.94%","589.3MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:03:30.7396844+00:00","26","r-scylla2","3.49%","515.7MiB / 9.711GiB","182MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:30.7396844+00:00","26","r-scylla3","3.30%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:33.9264601+00:00","27","r-scylla1","3.17%","589.3MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:03:33.9264601+00:00","27","r-scylla2","2.87%","515.4MiB / 9.711GiB","182MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:33.9264601+00:00","27","r-scylla3","2.57%","517.4MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:37.0984600+00:00","28","r-scylla1","3.18%","589MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:03:37.0984600+00:00","28","r-scylla2","4.36%","515.7MiB / 9.711GiB","182MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:37.0984600+00:00","28","r-scylla3","4.19%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:40.2705257+00:00","29","r-scylla1","2.75%","589.5MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:03:40.2705257+00:00","29","r-scylla2","2.92%","515.7MiB / 9.711GiB","182MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:40.2705257+00:00","29","r-scylla3","2.69%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:43.2775987+00:00","30","r-scylla1","3.58%","588.8MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:03:43.2775987+00:00","30","r-scylla2","3.80%","515.4MiB / 9.711GiB","182MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:43.2775987+00:00","30","r-scylla3","2.89%","517.1MiB / 9.711GiB","180MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:46.4254004+00:00","31","r-scylla1","2.88%","588.8MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:03:46.4254004+00:00","31","r-scylla2","4.26%","515.4MiB / 9.711GiB","182MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:46.4254004+00:00","31","r-scylla3","4.21%","517.1MiB / 9.711GiB","181MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:49.6250315+00:00","32","r-scylla1","1.95%","589.3MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:03:49.6250315+00:00","32","r-scylla2","2.21%","515.4MiB / 9.711GiB","182MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:49.6250315+00:00","32","r-scylla3","1.83%","517.1MiB / 9.711GiB","181MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:52.6573921+00:00","33","r-scylla1","1.91%","589.3MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:03:52.6573921+00:00","33","r-scylla2","2.05%","515.4MiB / 9.711GiB","182MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:52.6573921+00:00","33","r-scylla3","2.20%","517.1MiB / 9.711GiB","181MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:55.7704984+00:00","34","r-scylla1","3.11%","589.3MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:03:55.7704984+00:00","34","r-scylla2","3.19%","515.7MiB / 9.711GiB","182MB / 145MB","54.4MB / 895MB"
"2026-09-17T15:03:55.7704984+00:00","34","r-scylla3","3.13%","517.1MiB / 9.711GiB","181MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:03:58.8971339+00:00","35","r-scylla1","3.58%","589.1MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:03:58.8971339+00:00","35","r-scylla2","2.74%","515.7MiB / 9.711GiB","182MB / 146MB","54.4MB / 895MB"
"2026-09-17T15:03:58.8971339+00:00","35","r-scylla3","3.08%","517.1MiB / 9.711GiB","181MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:04:01.9211776+00:00","36","r-scylla1","2.41%","589.3MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:01.9211776+00:00","36","r-scylla2","2.20%","515.4MiB / 9.711GiB","182MB / 146MB","54.4MB / 895MB"
"2026-09-17T15:04:01.9211776+00:00","36","r-scylla3","1.89%","517.4MiB / 9.711GiB","181MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:04:05.0832820+00:00","37","r-scylla1","2.57%","589.6MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:05.0832820+00:00","37","r-scylla2","2.34%","515.4MiB / 9.711GiB","182MB / 146MB","54.4MB / 895MB"
"2026-09-17T15:04:05.0832820+00:00","37","r-scylla3","2.34%","517.1MiB / 9.711GiB","181MB / 146MB","41.9MB / 894MB"
"2026-09-17T15:04:08.2136705+00:00","38","r-scylla1","2.02%","589.1MiB / 9.711GiB","180MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:08.2136705+00:00","38","r-scylla2","1.42%","515.4MiB / 9.711GiB","182MB / 146MB","54.4MB / 895MB"
"2026-09-17T15:04:08.2136705+00:00","38","r-scylla3","3.34%","517.1MiB / 9.711GiB","181MB / 146MB","41.9MB / 894MB"
