"timestamp_utc","sample","node","cpu_percent","memory_usage","network_io","block_io"
"2026-09-17T14:27:17.2442294+00:00","0","r-scylla1","3.23%","585.4MiB / 9.711GiB","165MB / 132MB","349MB / 895MB"
"2026-09-17T14:27:17.2442294+00:00","0","r-scylla2","4.56%","515.3MiB / 9.711GiB","167MB / 130MB","54.4MB / 895MB"
"2026-09-17T14:27:17.2442294+00:00","0","r-scylla3","4.37%","517MiB / 9.711GiB","166MB / 131MB","41.9MB / 894MB"
"2026-09-17T14:27:20.2041114+00:00","1","r-scylla1","2.95%","585.7MiB / 9.711GiB","165MB / 132MB","349MB / 895MB"
"2026-09-17T14:27:20.2041114+00:00","1","r-scylla2","2.48%","515.3MiB / 9.711GiB","167MB / 130MB","54.4MB / 895MB"
"2026-09-17T14:27:20.2041114+00:00","1","r-scylla3","2.27%","517MiB / 9.711GiB","166MB / 131MB","41.9MB / 894MB"
