index,scheduled_offset_ms,start_offset_ms,timestamp_utc,operation,row_id,latency_ms,success,error
0,0.0,0.083,2026-09-16T13:22:03.611496+00:00,read,6825,15.35,True,
1,200.0,200.357,2026-09-16T13:22:03.811778+00:00,read,166,25.144,True,
2,400.0,400.385,2026-09-16T13:22:04.011805+00:00,read,6036,3.277,True,
3,600.0,600.436,2026-09-16T13:22:04.211857+00:00,read,4427,4.335,True,
4,800.0,800.466,2026-09-16T13:22:04.411885+00:00,read,7147,2.984,True,
5,1000.0,1000.307,2026-09-16T13:22:04.611723+00:00,read,6112,2.29,True,
6,1200.0,1200.29,2026-09-16T13:22:04.811707+00:00,read,7093,2.243,True,
7,1400.0,1400.143,2026-09-16T13:22:05.011565+00:00,read,9209,24.97,True,
8,1600.0,1600.181,2026-09-16T13:22:05.211601+00:00,read,2856,2.425,True,
9,1800.0,1800.29,2026-09-16T13:22:05.411711+00:00,read,9063,4.728,True,
