sample,start_utc,end_utc,phase,event_relative_s,address,token_rows,up_normal_rows,owns_values,ownership_sha256,source_file
5031,2026-09-22T15:55:54.8372307+00:00,2026-09-22T15:55:55.4102024+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005031.txt
5032,2026-09-22T15:55:56.9249219+00:00,2026-09-22T15:55:57.4304248+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005032.txt
5032,2026-09-22T15:55:56.9249219+00:00,2026-09-22T15:55:57.4304248+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005032.txt
5032,2026-09-22T15:55:56.9249219+00:00,2026-09-22T15:55:57.4304248+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005032.txt
5033,2026-09-22T15:55:58.9829804+00:00,2026-09-22T15:55:59.4564805+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005033.txt
5033,2026-09-22T15:55:58.9829804+00:00,2026-09-22T15:55:59.4564805+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005033.txt
5033,2026-09-22T15:55:58.9829804+00:00,2026-09-22T15:55:59.4564805+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005033.txt
5034,2026-09-22T15:56:01.0395619+00:00,2026-09-22T15:56:01.5351863+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005034.txt
5034,2026-09-22T15:56:01.0395619+00:00,2026-09-22T15:56:01.5351863+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005034.txt
5034,2026-09-22T15:56:01.0395619+00:00,2026-09-22T15:56:01.5351863+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005034.txt
5035,2026-09-22T15:56:03.1030843+00:00,2026-09-22T15:56:03.5783114+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005035.txt
5035,2026-09-22T15:56:03.1030843+00:00,2026-09-22T15:56:03.5783114+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_005035.txt
