timestamp,phase,event_relative_s,tablet_rows,pending_replica_rows,active_transition_rows,placement_sha256,changed_from_previous
2026-09-21T17:03:03.226183+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:04.308871+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:05.373212+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:06.449297+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:07.532483+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:08.593242+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:09.640742+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:10.731802+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:11.833007+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:12.892069+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:13.958520+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:15.052929+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:16.147949+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:17.222817+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:18.302903+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:19.336633+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:20.401651+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:21.498581+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:22.598584+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:23.677443+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:24.712637+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:25.783278+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:26.856068+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:27.944744+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:29.025287+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:30.105936+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:31.170066+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:32.256083+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:33.328502+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
2026-09-21T17:03:34.398690+00:00,,,32,0,0,a0308cc5293a95f9689886b7125aad909c93385e5a5b1cdacea2b281799ee779,False
