"timestamp_utc","sample","node","cpu_percent","memory_usage","network_io","block_io"
"2026-09-17T20:24:14.1955158+00:00","12","r-scylla3","2.52%","547.6MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:24:17.4121996+00:00","13","r-scylla1","3.51%","561.5MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:24:17.4121996+00:00","13","r-scylla2","2.46%","546.7MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:24:17.4121996+00:00","13","r-scylla3","2.76%","547.6MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:24:20.5967066+00:00","14","r-scylla1","2.89%","561.5MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:24:20.5967066+00:00","14","r-scylla2","3.13%","546.4MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:24:20.5967066+00:00","14","r-scylla3","3.42%","547.6MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:24:23.6459812+00:00","15","r-scylla1","3.19%","561.2MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:24:23.6459812+00:00","15","r-scylla2","3.07%","546.4MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:24:23.6459812+00:00","15","r-scylla3","3.90%","548.1MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:24:26.8565909+00:00","16","r-scylla1","3.09%","561.5MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:24:26.8565909+00:00","16","r-scylla2","2.98%","546.4MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:24:26.8565909+00:00","16","r-scylla3","3.31%","547.8MiB / 9.711GiB","154MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:24:30.1000686+00:00","17","r-scylla1","4.04%","561.2MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:24:30.1000686+00:00","17","r-scylla2","3.90%","546.7MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:24:30.1000686+00:00","17","r-scylla3","4.34%","547.6MiB / 9.711GiB","155MB / 118MB","305MB / 1.08GB"
"2026-09-17T20:24:33.1505901+00:00","18","r-scylla1","5.35%","561.7MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:24:33.1505901+00:00","18","r-scylla2","4.80%","546.7MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:24:33.1505901+00:00","18","r-scylla3","6.08%","547.6MiB / 9.711GiB","155MB / 119MB","305MB / 1.08GB"
"2026-09-17T20:24:36.4093288+00:00","19","r-scylla1","4.86%","561.7MiB / 9.711GiB","154MB / 119MB","354MB / 1.08GB"
"2026-09-17T20:24:36.4093288+00:00","19","r-scylla2","4.90%","546.5MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:24:36.4093288+00:00","19","r-scylla3","4.57%","547.9MiB / 9.711GiB","155MB / 119MB","305MB / 1.08GB"
"2026-09-17T20:24:39.6280652+00:00","20","r-scylla1","4.79%","561.7MiB / 9.711GiB","154MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:24:39.6280652+00:00","20","r-scylla2","4.59%","546.5MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:24:39.6280652+00:00","20","r-scylla3","4.98%","547.6MiB / 9.711GiB","155MB / 119MB","305MB / 1.08GB"
"2026-09-17T20:24:42.8808217+00:00","21","r-scylla1","5.33%","561.2MiB / 9.711GiB","154MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:24:42.8808217+00:00","21","r-scylla2","5.55%","546.7MiB / 9.711GiB","154MB / 118MB","304MB / 1.08GB"
"2026-09-17T20:24:42.8808217+00:00","21","r-scylla3","5.95%","547.9MiB / 9.711GiB","155MB / 119MB","305MB / 1.08GB"
"2026-09-17T20:24:46.1142229+00:00","22","r-scylla1","4.67%","561.2MiB / 9.711GiB","154MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:24:46.1142229+00:00","22","r-scylla2","4.13%","546.5MiB / 9.711GiB","154MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:24:46.1142229+00:00","22","r-scylla3","4.32%","547.9MiB / 9.711GiB","155MB / 119MB","305MB / 1.08GB"
"2026-09-17T20:24:49.3378932+00:00","23","r-scylla1","4.74%","561.2MiB / 9.711GiB","154MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:24:49.3378932+00:00","23","r-scylla2","5.23%","546.5MiB / 9.711GiB","154MB / 119MB","304MB / 1.08GB"
