index,scheduled_offset_ms,start_offset_ms,timestamp_utc,operation,row_id,latency_ms,success,error
73,1460.0,1460.555,2026-09-17T20:24:34.609947+00:00,read,10938,3.53,True,
74,1480.0,1480.202,2026-09-17T20:24:34.629594+00:00,read,36696,3.432,True,
75,1500.0,1500.312,2026-09-17T20:24:34.649706+00:00,read,63269,3.693,True,
76,1520.0,1520.302,2026-09-17T20:24:34.669687+00:00,read,319,2.411,True,
77,1540.0,1540.446,2026-09-17T20:24:34.689840+00:00,read,96011,3.688,True,
78,1560.0,1560.287,2026-09-17T20:24:34.709679+00:00,read,22137,3.869,True,
79,1580.0,1580.427,2026-09-17T20:24:34.729814+00:00,read,95269,3.243,True,
80,1600.0,1600.226,2026-09-17T20:24:34.749612+00:00,read,46198,2.328,True,
81,1620.0,1620.364,2026-09-17T20:24:34.769753+00:00,read,57763,2.736,True,
82,1640.0,1640.292,2026-09-17T20:24:34.789681+00:00,read,31867,2.999,True,
83,1660.0,1660.229,2026-09-17T20:24:34.809618+00:00,read,62716,2.899,True,
84,1680.0,1680.392,2026-09-17T20:24:34.829782+00:00,read,95978,3.008,True,
85,1700.0,1700.247,2026-09-17T20:24:34.849637+00:00,read,16998,3.054,True,
86,1720.0,1720.303,2026-09-17T20:24:34.869691+00:00,read,30166,3.374,True,
87,1740.0,1740.365,2026-09-17T20:24:34.889752+00:00,read,12650,2.641,True,
88,1760.0,1760.314,2026-09-17T20:24:34.909706+00:00,read,13749,3.407,True,
89,1780.0,1780.292,2026-09-17T20:24:34.929682+00:00,read,20166,3.124,True,
90,1800.0,1800.377,2026-09-17T20:24:34.949767+00:00,read,98251,3.008,True,
91,1820.0,1820.31,2026-09-17T20:24:34.969696+00:00,read,4228,2.6,True,
92,1840.0,1840.362,2026-09-17T20:24:34.989746+00:00,read,10273,2.79,True,
93,1860.0,1860.25,2026-09-17T20:24:35.009637+00:00,read,37846,2.808,True,
94,1880.0,1880.156,2026-09-17T20:24:35.029542+00:00,read,47290,2.468,True,
95,1900.0,1900.417,2026-09-17T20:24:35.049806+00:00,read,18868,2.357,True,
96,1920.0,1920.294,2026-09-17T20:24:35.069681+00:00,read,1200,2.54,True,
97,1940.0,1940.61,2026-09-17T20:24:35.089996+00:00,read,12682,2.758,True,
98,1960.0,1960.385,2026-09-17T20:24:35.109771+00:00,read,82228,2.732,True,
