timestamp,table_id,tablet_rows,size_rows,placement_replicas,size_replicas,token_sets_equal,complete_size_groups
2026-09-21T11:47:26.879236+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:27.981392+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:29.069974+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:30.148251+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:31.218856+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:32.296255+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:33.368125+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:34.440020+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:35.479294+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:36.543192+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:37.610267+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:38.678869+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:39.725300+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:40.772854+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:41.844845+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:42.928188+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:44.000467+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:45.068839+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:46.125355+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:47.218261+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:48.294908+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:49.362265+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:50.424846+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:51.503110+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:52.596897+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:53.686860+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:54.749745+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:55.835053+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:56.892473+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:57.961536+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:47:59.018321+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:00.115854+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:01.193354+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:02.245803+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:03.370468+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:04.416774+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:05.485370+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:06.577060+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:07.633119+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:08.742472+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:09.914901+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:10.973960+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:12.038572+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:13.107588+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:14.184634+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:15.255033+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:16.322587+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:17.395361+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:18.460263+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:19.491598+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:20.535782+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:21.601853+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:22.658661+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:23.734120+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:24.791274+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:25.869318+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:26.943197+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:28.024062+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:29.076075+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:30.169876+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:31.219394+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:32.289860+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:33.365032+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:34.467026+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:35.514476+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:36.576681+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:37.650512+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:38.717652+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:39.911155+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:41.246769+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:42.310236+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:43.367761+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:44.445207+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:45.504082+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:46.549069+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:47.625804+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:48.698374+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:49.765327+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:50.835263+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
2026-09-21T11:48:51.909896+00:00,78bc4800-b5b1-11f1-b114-205badb8c8b6,64,64,128,128,True,64
