"timestamp_utc","sample_end_utc","sample","node","node_count","cpu_percent","memory_usage","network_io","block_io","vm_mem_available_kib"
"2026-09-21T11:50:22.9406264+00:00","2026-09-21T11:50:25.2555354+00:00","6","r-scylla3","4","2.90%","138.6MiB / 9.711GiB","14.2MB / 27.5MB","17.1MB / 626MB","8773060"
"2026-09-21T11:50:22.9406264+00:00","2026-09-21T11:50:25.2555354+00:00","6","r-scylla4","4","3.18%","140.5MiB / 9.711GiB","13MB / 27.6MB","18MB / 624MB","8773060"
"2026-09-21T11:50:26.2664446+00:00","2026-09-21T11:50:28.3010312+00:00","7","r-scylla1","4","2.76%","156MiB / 9.711GiB","13.1MB / 30.7MB","42.9MB / 625MB","8777124"
"2026-09-21T11:50:26.2664446+00:00","2026-09-21T11:50:28.3010312+00:00","7","r-scylla2","4","2.54%","138.1MiB / 9.711GiB","12.9MB / 28.8MB","16.2MB / 625MB","8777124"
"2026-09-21T11:50:26.2664446+00:00","2026-09-21T11:50:28.3010312+00:00","7","r-scylla3","4","2.79%","137.8MiB / 9.711GiB","14.3MB / 28.6MB","17.1MB / 626MB","8777124"
"2026-09-21T11:50:26.2664446+00:00","2026-09-21T11:50:28.3010312+00:00","7","r-scylla4","4","2.96%","140.5MiB / 9.711GiB","13MB / 28.8MB","18MB / 624MB","8777124"
"2026-09-21T11:50:29.3032657+00:00","2026-09-21T11:50:31.6467107+00:00","8","r-scylla1","4","3.51%","156MiB / 9.711GiB","13.1MB / 31.9MB","42.9MB / 625MB","8774564"
"2026-09-21T11:50:29.3032657+00:00","2026-09-21T11:50:31.6467107+00:00","8","r-scylla2","4","3.57%","138.3MiB / 9.711GiB","12.9MB / 29.9MB","16.2MB / 625MB","8774564"
"2026-09-21T11:50:29.3032657+00:00","2026-09-21T11:50:31.6467107+00:00","8","r-scylla3","4","3.58%","137.8MiB / 9.711GiB","14.3MB / 29.8MB","17.1MB / 626MB","8774564"
"2026-09-21T11:50:29.3032657+00:00","2026-09-21T11:50:31.6467107+00:00","8","r-scylla4","4","3.87%","140.5MiB / 9.711GiB","13.1MB / 29.6MB","18MB / 624MB","8774564"
"2026-09-21T11:50:32.6608546+00:00","2026-09-21T11:50:34.9779443+00:00","9","r-scylla1","4","5.29%","156MiB / 9.711GiB","13.1MB / 33.1MB","42.9MB / 625MB","8773956"
